Наименование предмета,Уровень,Класс,Характеристики/Описание,Иконки
,,,,Иконка
Деревянная удочка,1,,"(Актив): Шанс выудить рыбку - 40%
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Арканитовая удочка,10,,"Основной стат -30
Хп +800
(Актив): Шанс выудить рыбку - 100%, чаще вылавливает редкую рыбку
|cffff0000Доступен с 10 уровня|r
|cffff0000Не более 1|r",
Железная оптика,1,,"Радиус +350
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Серебряная оптика,1,,"Радиус +500
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Ториевая оптика,1,,"Радиус +700
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Арканитовая оптика,1,,"Радиус +900
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Железные боеприпасы,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Серебряные боеприпасы,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Ториевые боеприпасы,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Арканитовые боеприпасы,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Серебряная пыль,1,,"(Актив): Позволяет обнаруживать скрытые предметы вокруг пользователя
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Сырный Двигатель,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Генератор,,,,
Железный меха-гоблин,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Серебряный меха-гоблин,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Ториевый меха-гоблин,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Арканитовый меха-гоблин,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Танк-нигдеход,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Движок MТ II,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Нагревательный блок,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Гигантская лупа,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
"Корпус ""Буро""",1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
2 пары шагателей,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Набор деталей,1,,"|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Грибная настойка,1,,"(Актив): Дает 2 еды и восстанавливает 3% хп
|cffff0000Доступен с 1 уровня|r
",
Грибной бульон,1,,"(Актив): Дает 2 еды и восстанавливает 5% хп
|cffff0000Доступен с 1 уровня|r
",
Грибной спирт,1,,"(Актив): Дает 2 еды и восстанавливает 3% мп
|cffff0000Доступен с 1 уровня|r
",
Грибная самогонка,1,,"(Актив): Дает 2 еды и восстанавливает 5% мп
|cffff0000Доступен с 1 уровня|r
",
Слабый энергетик,1,,"(Актив): Дает 2 еды и восстанавливает 10% хп и мп в течений 10 сек
|cffff0000Доступен с 1 уровня|r
",
Энергетик,1,,"(Актив): Дает 2 еды и восстанавливает 15% хп и мп в течений 10 сек
|cffff0000Доступен с 1 уровня|r
",
Сильный энергетик,1,,"(Актив): Дает 2 еды и восстанавливает 20% хп и мп в течений 10 сек
|cffff0000Доступен с 1 уровня|r
",
Гоблинский шлем-котелок,1,,"Хп +130
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Гоблинский бронежилет,1,,"Защита +1
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Гоблинские сапоги,1,,"Скорость бега +10
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Гоблинские перчатки,1,,"Атака +25
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Гоблинский комбинезон,1,,"Хп +180
Атака +25
Защита +2
Скорость бега +15
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Кожаная накидка,1,,"Ловкость +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Железный нагрудник,1,,"Сила +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Льняной плащ,1,,"Разум +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Экспедиционный костюмчик,1,,"Все статы +5
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Каска взрывника,1,,"Сила +8
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Шапка,1,,"Ловкость +8
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
Маска,1,,"Разум +8
|cffff0000Доступен с 1 уровня|r
|cffff0000Не более 1|r",
